Date,High,Low,Open,Close,Volume,Adj Close
2021/1/11,43.09999847,42.75,42.84999847,43.09999847,12903063,40.25917816
2021/1/12,43.04999924,42.70000076,43,42.70000076,12273333,39.88554382
2021/1/13,42.84999847,42.59999847,42.70000076,42.70000076,17312690,39.88554382
2021/1/14,42.79999924,42.45000076,42.79999924,42.54999924,20023352,39.74542999
2021/1/15,42.5,41.95000076,42.5,41.95000076,30621561,39.18497849
2021/1/18,41.95000076,41.40000153,41.95000076,41.59999847,25090960,38.85804749
2021/1/19,42,41.59999847,41.59999847,41.75,12056841,38.99816132
2021/1/20,41.70000076,40.79999924,41.65000153,40.95000076,35029538,38.25089264
2021/1/21,41.15000153,40.79999924,41,40.79999924,17864964,38.11077881
2021/1/22,40.79999924,40.5,40.75,40.59999847,28442455,37.92395782
2021/1/25,41.09999847,40.59999847,40.65000153,40.90000153,20774526,38.2041893
2021/1/26,40.90000153,40.20000076,40.70000076,40.34999847,35290743,37.69043732
2021/1/27,40.70000076,40.34999847,40.40000153,40.34999847,15393698,37.69043732
2021/1/28,40.59999847,40.20000076,40.25,40.25,22340467,37.59703064
2021/1/29,40.45000076,40.15000153,40.25,40.15000153,20837702,37.50362396
2021/2/1,40.95000076,40.29999924,40.29999924,40.79999924,11744500,38.11077881
2021/2/2,41.15000153,40.65000153,40.95000076,40.75,19178791,38.06407166
2021/2/3,40.90000153,40.5,40.79999924,40.54999924,22988386,37.87725449
2021/2/4,40.65000153,40.40000153,40.5,40.40000153,17855119,37.73714447
2021/2/5,40.90000153,40.54999924,40.54999924,40.84999847,13203037,38.15748215
2021/2/17,41.29999924,40.79999924,41,41.25,24172493,38.53111649
2021/2/18,41.65000153,41.20000076,41.25,41.34999847,19482617,38.62452316
2021/2/19,41.65000153,41.04999924,41.34999847,41.59999847,16845405,38.85804749
2021/2/22,42.09999847,41.54999924,41.70000076,41.79999924,23307150,39.04486465
2021/2/23,42.59999847,42,42,42.45000076,26485631,39.65202332
2021/2/24,42.90000153,42.40000153,42.79999924,42.54999924,17355030,39.74542999
2021/2/25,42.90000153,42.59999847,42.79999924,42.90000153,15084182,40.07236481
2021/2/26,42.70000076,42,42.70000076,42,31763901,39.23168182
2021/3/2,42.5,42.09999847,42.25,42.09999847,21382380,39.32509232
2021/3/3,42.59999847,42.25,42.40000153,42.54999924,16561776,39.74542999
2021/3/4,42.54999924,42.15000153,42.54999924,42.5,19756802,39.69872665
2021/3/5,42.5,42.04999924,42.15000153,42.5,9227898,39.69872665
2021/3/8,42.90000153,42.54999924,42.59999847,42.65000153,14836627,39.83884048
2021/3/9,43.40000153,42.79999924,42.90000153,43.40000153,24667908,40.53940582
2021/3/10,43.40000153,42.90000153,43.40000153,43,23607029,40.16577148
2021/3/11,43.20000076,42.84999847,43.15000153,42.84999847,22228594,40.02565765
2021/3/12,42.84999847,42.54999924,42.79999924,42.70000076,18419786,39.88554382
2021/3/15,42.75,42.29999924,42.70000076,42.34999847,24459092,39.55861282
2021/3/16,42.70000076,42.34999847,42.40000153,42.59999847,10696723,39.79213333
2021/3/17,42.95000076,42.65000153,42.70000076,42.84999847,12610495,40.02565765
2021/3/18,43.25,42.90000153,42.90000153,43.09999847,14847330,40.25917816
2021/3/19,43,42.59999847,43,42.70000076,23363273,39.88554382
2021/3/22,46.90000153,45.04999924,46.84999847,45.79999924,101739337,42.78121567
2021/3/23,46,45.59999847,46,45.70000076,38634240,42.68780899
2021/3/24,45.75,45.5,45.70000076,45.54999924,21046019,42.54769516
2021/3/25,45.65000153,45.34999847,45.54999924,45.54999924,23365601,42.54769516
2021/3/26,46.25,45.59999847,45.59999847,46.15000153,39657094,43.10814667
