Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,59.9,56.1,56.5,59.2,12254359.0,57.36
2020-01-03,61.4,59.0,60.0,59.0,15536601.0,57.17
2020-01-06,59.1,56.6,58.4,56.6,6263539.0,54.84
2020-01-07,57.9,55.6,57.2,56.1,5575637.0,54.36
2020-01-08,57.2,55.7,55.7,55.7,7113899.0,53.97
2020-01-09,58.6,56.6,56.7,58.3,10160267.0,56.49
2020-01-10,59.1,57.8,58.7,58.6,5890710.0,56.78
2020-01-13,59.5,58.0,58.5,59.5,4640736.0,57.65
2020-01-14,61.0,58.7,60.2,59.4,9741558.0,57.55
2020-01-15,59.7,58.7,59.0,58.9,3222038.0,57.07
2020-01-16,59.9,59.1,59.1,59.1,3550457.0,57.26
2020-01-17,59.8,58.6,59.7,58.8,2383444.0,56.97
2020-01-20,59.2,57.8,58.7,57.8,2598055.0,56.0
2020-01-30,54.4,52.1,54.4,52.1,4907346.0,50.48
2020-01-31,53.0,49.25,52.1,49.45,7350103.0,47.91
2020-02-03,47.7,44.8,47.7,46.6,4365222.0,45.15
2020-02-04,55.0,48.0,54.9,48.0,2652539.0,46.51
2020-02-05,48.5,46.95,48.5,47.0,3377101.0,45.54
2020-02-06,48.8,47.5,47.8,48.3,3093677.0,46.8
2020-02-07,47.8,46.85,47.7,47.15,2743464.0,45.68
2020-02-10,47.25,45.65,46.05,46.65,1640260.0,45.2
2020-02-11,48.1,47.2,47.8,48.05,2492362.0,46.56
2020-02-12,49.25,48.25,48.5,49.25,2475487.0,47.72
2020-02-13,51.0,49.6,49.9,50.0,5004093.0,48.45
2020-02-14,49.9,49.1,49.45,49.5,3243363.0,47.96
2020-02-17,49.05,48.4,49.0,48.45,2672338.0,46.94
2020-02-18,49.0,47.9,48.0,48.9,2391459.0,47.38
2020-02-19,49.05,48.25,48.8,48.6,2100434.0,47.09
2020-02-20,48.95,48.0,48.65,48.15,2202022.0,46.65
2020-02-21,48.45,47.4,48.05,47.65,2646607.0,46.17
2020-02-24,47.55,46.5,47.1,46.8,2572859.0,45.35
2020-02-25,46.3,45.55,45.6,46.1,2884756.0,44.67
2020-02-26,46.4,45.6,45.65,45.6,2233178.0,44.18
2020-02-27,46.2,43.9,46.2,44.05,3075640.0,42.68
2020-03-02,46.2,42.4,42.5,45.0,3662381.0,43.6
2020-03-03,46.6,45.55,46.5,45.55,1935904.0,44.13
2020-03-04,45.35,44.55,45.1,45.05,1967474.0,43.65
2020-03-05,46.2,45.6,45.8,45.9,1847525.0,44.47
2020-03-06,45.75,45.05,45.65,45.05,1349411.0,43.65
2020-03-09,44.75,42.8,44.7,42.8,2688358.0,41.47
2020-03-10,43.85,40.3,40.3,43.8,2832284.0,42.44
2020-03-11,44.5,42.3,44.0,42.35,1492530.0,41.03
2020-03-12,42.1,38.15,42.1,38.35,4425105.0,37.16
2020-03-13,34.55,34.55,34.55,34.55,4802020.0,33.48
2020-03-16,35.85,32.5,34.6,32.7,6055889.0,31.68
2020-03-17,33.7,30.8,31.0,32.95,5453375.0,31.93
2020-03-18,34.0,32.0,33.95,32.35,3697899.0,31.34
2020-03-19,31.65,29.15,31.1,29.15,5155789.0,28.24
2020-03-20,32.05,30.5,30.7,32.05,3243865.0,31.05
2020-03-23,32.5,30.0,30.1,32.15,2133922.0,31.15
2020-03-24,34.45,33.55,34.4,34.1,2610540.0,33.04
2020-03-25,37.2,35.6,35.6,36.4,4269266.0,35.27
2020-03-26,37.15,35.6,37.15,36.5,1941414.0,35.37
2020-03-27,37.9,36.0,37.9,36.2,3141812.0,35.07
2020-03-30,36.7,34.6,35.0,36.7,2113935.0,35.56
2020-03-31,37.5,36.05,37.45,36.3,1452556.0,35.17
2020-04-01,36.7,36.0,36.3,36.65,966797.0,35.51
2020-04-06,37.5,36.4,37.0,37.45,2604453.0,36.29
2020-04-07,39.4,38.2,38.35,38.8,3254553.0,37.59
2020-04-08,41.2,38.9,39.1,41.2,4307201.0,39.92
2020-04-09,41.9,40.15,41.25,40.35,3160250.0,39.1
2020-04-10,40.4,39.55,39.85,40.05,1380082.0,38.81
2020-04-13,40.7,39.35,39.6,39.8,1152075.0,38.56
2020-04-14,41.15,40.0,40.3,41.0,1689527.0,39.73
2020-04-15,41.8,40.6,41.6,41.8,2487133.0,40.5
2020-04-16,42.4,41.0,41.25,41.6,1562400.0,40.31
2020-04-17,43.2,41.55,42.5,42.05,3242329.0,40.74
2020-04-20,43.0,41.5,42.1,43.0,1611088.0,41.66
2020-04-21,43.85,41.65,43.0,41.8,3571412.0,40.5
2020-04-22,42.8,40.6,41.1,42.65,1820120.0,41.32
2020-04-23,46.2,42.5,43.25,45.3,10115931.0,43.89
2020-04-24,44.0,42.05,43.7,42.55,9820117.0,41.23
2020-04-27,43.45,42.6,42.8,42.8,3234230.0,41.47
2020-04-28,43.35,42.2,43.0,42.95,2276298.0,41.62
2020-04-29,43.35,42.8,43.05,43.2,2063250.0,41.86
2020-04-30,43.8,43.25,43.45,43.35,2871568.0,42.0
2020-05-04,42.8,42.0,42.15,42.6,1122757.0,41.28
2020-05-05,43.3,42.2,43.0,42.8,1910832.0,41.47
2020-05-06,43.25,42.5,43.25,42.6,1218101.0,41.28
2020-05-07,43.9,42.6,42.8,43.55,3169917.0,42.2
2020-05-08,43.95,43.05,43.85,43.05,1955525.0,41.71
2020-05-11,43.7,43.2,43.7,43.35,1450390.0,42.0
2020-05-12,43.45,42.1,43.2,42.4,1737957.0,41.08
2020-05-13,43.85,42.15,42.25,43.7,2231114.0,42.34
2020-05-14,43.3,42.05,43.3,42.1,2174417.0,40.79
2020-05-15,42.9,41.1,42.7,41.35,1887955.0,40.06
2020-05-18,41.6,40.35,40.85,40.5,1275302.0,39.24
2020-05-19,42.45,41.1,41.55,41.95,2861204.0,40.65
2020-05-20,42.9,41.85,42.45,42.3,1977630.0,40.99
2020-05-21,44.3,42.75,42.8,43.95,5450416.0,42.58
2020-05-22,45.5,43.6,44.95,43.6,6121974.0,42.25
2020-05-25,44.2,43.0,44.0,43.7,1739083.0,42.34
2020-05-26,44.15,43.2,43.95,43.2,1957955.0,41.86
2020-05-27,44.4,43.3,43.55,43.85,2589023.0,42.49
2020-05-28,44.85,43.2,44.5,43.35,2722218.0,42.0
2020-05-29,44.55,43.2,43.6,43.6,3033331.0,42.25
2020-06-01,45.25,43.85,44.0,45.1,4531326.0,43.7
2020-06-02,45.7,44.2,45.1,44.4,3418385.0,43.02
2020-06-03,45.45,44.15,44.95,45.05,3514591.0,43.65
2020-06-04,45.5,44.65,45.4,45.0,2535848.0,43.6
2020-06-05,45.2,44.6,45.0,44.9,1929348.0,43.5
2020-06-08,45.35,44.7,45.3,44.9,2971992.0,43.5
2020-06-09,45.1,43.85,45.1,44.35,2985173.0,42.97
2020-06-10,44.65,44.05,44.35,44.2,2293980.0,42.83
2020-06-11,44.45,42.8,44.2,42.8,3444103.0,41.47
2020-06-12,41.8,40.5,41.2,41.65,4328559.0,40.36
2020-06-15,42.1,41.3,41.55,41.45,2077857.0,40.16
2020-06-16,42.25,41.2,42.0,41.9,2593743.0,40.6
2020-06-17,42.3,41.45,42.1,41.7,1926656.0,40.4
2020-06-18,41.8,41.25,41.65,41.8,2825330.0,40.5
2020-06-19,42.95,41.0,42.1,41.0,13141197.0,39.73
2020-06-22,43.2,41.25,41.25,42.7,4413810.0,41.37
2020-06-23,43.75,41.75,42.9,43.35,7757175.0,42.0
2020-06-24,46.3,43.85,44.6,44.8,27209973.0,43.41
2020-06-29,47.8,44.9,45.3,46.5,20723436.0,45.05
2020-06-30,48.7,45.9,48.0,46.4,17670713.0,44.96
2020-07-01,48.0,45.8,47.0,47.75,11076823.0,46.27
2020-07-02,51.3,46.8,47.25,51.3,21233138.0,50.88
2020-07-03,55.8,51.8,52.6,52.8,32622185.0,52.37
2020-07-06,55.5,53.1,54.0,54.0,18019198.0,53.56
2020-07-07,55.3,50.6,55.0,51.5,13237317.0,51.08
2020-07-08,54.9,51.5,52.3,54.0,15391026.0,53.56
2020-07-09,54.8,52.2,54.8,52.6,11650731.0,52.17
2020-07-10,52.6,50.0,52.1,50.8,7406473.0,50.38
2020-07-13,51.9,50.2,51.5,51.6,4769534.0,51.18
2020-07-14,51.8,50.7,51.8,51.0,3586579.0,50.58
2020-07-15,52.4,50.0,51.6,50.1,4463369.0,49.69
2020-07-16,51.3,50.0,50.1,50.1,3200492.0,49.69
2020-07-17,51.2,48.5,50.8,48.95,4464592.0,48.55
2020-07-20,50.9,48.05,49.3,50.8,4156030.0,50.38
2020-07-21,53.0,50.9,51.2,53.0,9831805.0,52.56
2020-07-22,53.0,51.6,53.0,52.5,5853578.0,52.07
2020-07-23,53.4,51.6,52.8,52.9,6320170.0,52.46
2020-07-24,54.9,51.9,53.8,52.1,18380971.0,51.67
2020-07-27,52.1,49.0,51.9,49.15,12266728.0,48.75
2020-07-28,50.3,45.9,49.3,46.2,10922505.0,45.82
2020-07-29,47.15,45.8,45.8,46.95,5119977.0,46.56
2020-07-30,47.95,47.2,47.3,47.8,3536279.0,47.41
2020-07-31,47.8,46.35,47.8,47.05,5293425.0,46.66
2020-08-03,47.55,46.9,47.1,47.1,2363517.0,46.71
2020-08-04,47.95,47.2,47.55,47.8,3699050.0,47.41
2020-08-05,49.1,48.0,48.3,48.6,4572179.0,48.2
2020-08-06,48.95,47.6,48.75,47.7,3852517.0,47.31
2020-08-07,48.5,47.7,48.0,48.45,3096732.0,48.05
2020-08-10,48.9,47.0,48.6,47.25,3894086.0,46.86
2020-08-11,48.25,47.15,47.35,47.3,2090759.0,46.91
2020-08-12,47.5,46.1,47.35,46.6,2740928.0,46.22
2020-08-13,47.25,46.1,47.25,46.25,2000104.0,45.87
2020-08-14,47.3,46.0,46.3,47.0,1969216.0,46.61
2020-08-17,47.2,46.25,46.9,47.0,1560694.0,46.61
2020-08-18,47.35,46.0,47.3,46.3,2114799.0,45.92
2020-08-19,46.55,45.0,46.5,45.2,3162016.0,44.83
2020-08-20,45.0,41.0,45.0,42.4,4602532.0,42.05
2020-08-21,43.85,42.6,42.9,43.5,1844626.0,43.14
2020-08-24,43.85,43.0,43.5,43.4,1073005.0,43.04
2020-08-25,44.9,43.6,43.6,44.4,1464382.0,44.03
2020-08-26,44.65,43.8,44.55,44.5,967735.0,44.13
2020-08-27,45.3,44.0,44.5,44.2,1587500.0,43.84
2020-08-28,44.2,43.5,43.95,43.95,872406.0,43.59
2020-08-31,44.6,43.05,44.4,43.4,1491190.0,43.04
2020-09-01,45.15,43.3,43.55,44.95,2441656.0,44.58
2020-09-02,45.75,44.65,45.5,45.1,2354472.0,44.73
2020-09-03,45.6,44.35,45.35,44.4,2024429.0,44.03
2020-09-04,43.95,43.2,43.55,43.95,1721467.0,43.59
2020-09-07,44.75,43.5,44.1,43.55,1519353.0,43.19
2020-09-08,44.25,43.6,43.9,43.85,854116.0,43.49
2020-09-09,43.7,43.1,43.7,43.45,1046916.0,43.09
2020-09-10,43.95,43.3,43.75,43.35,880547.0,42.99
2020-09-11,43.45,42.8,43.45,42.9,984362.0,42.55
2020-09-14,44.4,42.8,43.25,44.0,1212665.0,43.64
2020-09-15,46.1,44.15,44.25,45.4,5676109.0,45.03
2020-09-16,45.7,45.05,45.35,45.05,2246662.0,44.68
2020-09-17,45.6,45.05,45.2,45.4,1084927.0,45.03
2020-09-18,45.85,45.45,45.7,45.65,1506329.0,45.27
2020-09-21,45.9,44.7,45.85,44.9,1046887.0,44.53
2020-09-22,44.85,43.35,44.7,44.3,957214.0,43.94
2020-09-23,45.2,44.3,44.6,44.65,994622.0,44.28
2020-09-24,44.3,42.95,44.1,43.0,2089773.0,42.65
2020-09-25,43.65,41.2,43.6,42.0,1595642.0,41.65
2020-09-28,44.35,42.25,42.5,44.05,1619495.0,43.69
2020-09-29,44.8,43.2,44.45,43.35,820211.0,42.99
2020-09-30,43.85,42.9,43.35,43.85,554420.0,43.49
2020-10-05,44.15,43.7,43.85,44.05,682334.0,43.69
2020-10-06,44.85,44.3,44.35,44.5,1080552.0,44.13
2020-10-07,45.0,44.25,44.6,44.95,1306525.0,44.58
2020-10-08,45.25,44.05,45.2,44.2,1693285.0,43.84
