Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,43.85,42.2,42.3,43.6,39321623.0,42.26
2020-01-03,44.25,42.3,44.2,42.5,28586557.0,41.2
2020-01-06,42.0,40.85,41.95,41.35,25307713.0,40.08
2020-01-07,41.8,41.1,41.7,41.3,17381682.0,40.03
2020-01-08,41.0,40.3,40.55,40.45,15980292.0,39.21
2020-01-09,41.55,40.95,41.0,41.05,16333142.0,39.79
2020-01-10,42.4,41.25,41.4,42.4,28099535.0,41.1
2020-01-13,43.9,42.65,43.0,43.9,33550483.0,42.55
2020-01-14,46.0,44.5,45.0,45.4,80918532.0,44.01
2020-01-15,45.6,44.4,45.2,44.75,36881631.0,43.38
2020-01-16,44.6,43.55,44.6,43.6,49209118.0,42.26
2020-01-17,44.45,43.15,43.75,43.25,28452980.0,41.92
2020-01-20,44.8,43.65,43.75,44.8,31951515.0,43.42
2020-01-30,40.85,40.35,40.4,40.35,33662777.0,39.11
2020-01-31,40.8,37.1,40.1,38.65,53858220.0,37.46
2020-02-03,37.75,35.25,36.5,36.75,44675268.0,35.62
2020-02-04,44.7,40.25,44.65,40.25,57378206.0,39.01
2020-02-05,40.85,39.1,40.85,39.15,38062741.0,37.95
2020-02-06,40.55,39.4,39.7,40.2,30604117.0,38.97
2020-02-07,39.8,38.85,39.5,38.9,20366369.0,37.71
2020-02-10,39.85,36.0,36.0,39.85,43809914.0,38.63
2020-02-11,40.75,39.7,40.3,40.3,25867623.0,39.06
2020-02-12,42.9,40.35,40.6,42.85,61654202.0,41.53
2020-02-13,43.1,42.0,43.0,42.05,33634885.0,40.76
2020-02-14,42.55,41.5,41.85,41.5,29431551.0,40.23
2020-02-17,41.85,40.9,41.0,41.35,17283432.0,40.08
2020-02-18,41.6,40.8,41.0,41.1,13744110.0,39.84
2020-02-19,42.15,41.3,41.3,41.75,18911820.0,40.47
2020-02-20,42.85,41.9,42.15,42.0,22564169.0,40.71
2020-02-21,42.4,41.7,41.85,41.7,22592495.0,40.42
2020-02-24,42.45,40.8,40.8,42.45,21795786.0,41.15
2020-02-25,42.4,41.7,42.05,41.75,19099303.0,40.47
2020-02-26,42.5,41.05,41.3,41.25,23766415.0,39.98
2020-02-27,41.85,39.2,41.6,40.0,31297979.0,38.77
2020-03-02,40.15,38.35,38.8,39.25,27736693.0,38.05
2020-03-03,42.35,40.3,40.6,41.45,43747786.0,40.18
2020-03-04,42.15,41.0,41.5,41.4,28075976.0,40.13
2020-03-05,43.2,41.5,42.2,41.9,64813421.0,40.61
2020-03-06,42.1,41.3,41.3,41.6,14218395.0,40.32
2020-03-09,41.85,39.5,41.2,39.5,33469007.0,38.29
2020-03-10,39.75,37.65,38.75,38.95,49533282.0,37.75
2020-03-11,40.0,37.4,39.3,37.4,40124043.0,36.25
2020-03-12,36.8,33.7,36.8,33.7,67001624.0,32.67
2020-03-13,31.5,30.35,30.35,31.45,44992560.0,30.48
2020-03-16,31.85,28.4,31.3,28.4,36863881.0,27.53
2020-03-17,28.6,26.45,27.0,26.5,46154546.0,25.69
2020-03-18,28.0,26.2,27.4,26.2,40064336.0,25.4
2020-03-19,27.05,23.65,26.0,24.6,71791017.0,23.84
2020-03-20,27.05,26.05,26.7,27.05,27863501.0,26.22
2020-03-23,27.7,25.5,26.05,27.05,39054265.0,26.22
2020-03-24,29.45,28.0,28.2,28.6,36622823.0,27.72
2020-03-25,31.4,30.3,30.5,31.1,50104310.0,30.15
2020-03-26,31.65,30.05,31.6,31.0,39909754.0,30.05
2020-03-27,32.2,30.25,31.9,30.25,48965559.0,29.32
2020-03-30,30.9,29.0,29.2,30.9,26101033.0,29.95
2020-03-31,33.5,31.35,31.8,32.0,76347420.0,31.02
2020-04-01,32.15,31.5,31.8,31.7,32897012.0,30.73
2020-04-06,32.35,30.7,32.0,31.35,40463184.0,30.39
2020-04-07,33.7,32.1,32.5,33.15,64423605.0,32.13
2020-04-08,34.2,33.15,33.65,34.0,54416613.0,32.96
2020-04-09,35.85,34.05,35.0,34.7,61310691.0,33.63
2020-04-10,35.0,34.15,34.8,35.0,26329029.0,33.93
2020-04-13,36.8,35.35,35.8,35.55,60777566.0,34.46
2020-04-14,38.85,36.05,36.45,38.15,58954460.0,36.98
2020-04-15,39.9,37.4,38.8,37.4,57832612.0,36.25
2020-04-16,38.7,36.75,36.8,38.1,41182456.0,36.93
2020-04-17,39.6,37.7,39.3,38.1,46197153.0,36.93
2020-04-20,38.5,37.8,38.1,38.1,19489324.0,36.93
2020-04-21,38.45,36.3,37.7,36.65,39232616.0,35.53
2020-04-22,37.45,35.7,35.95,37.45,28364861.0,36.3
2020-04-23,38.35,37.1,37.45,37.6,25113234.0,36.45
2020-04-24,37.95,37.3,37.8,37.45,16167377.0,36.3
2020-04-27,38.7,37.8,37.95,38.3,27274692.0,37.12
2020-04-28,39.55,38.5,39.0,39.45,45808301.0,38.24
2020-04-29,43.1,39.95,39.95,42.0,94570689.0,40.71
2020-04-30,43.5,42.35,42.9,42.85,59548016.0,41.53
2020-05-04,43.25,41.05,41.4,43.0,33146683.0,41.68
2020-05-05,43.95,42.2,43.4,42.5,33732963.0,41.2
