Date,High,Low,Open,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,btop,bsma,bottom,bwidth
2020-01-02,68.4,65.1,65.1,68.0,1516632.0,64.49,,,,,,,,
2020-01-03,68.3,66.2,68.2,67.5,843140.0,64.01,,,,,,,,
2020-01-06,66.9,65.6,65.7,66.2,629451.0,62.78,,,,,,,,
2020-01-07,67.2,64.6,67.2,65.1,455046.0,61.74,,,,,,,,
2020-01-08,65.5,64.0,64.6,64.3,289082.0,60.98,66.22,,,,,,,
2020-01-09,65.5,64.7,65.2,64.7,292100.0,61.36,65.71,,,,,,,
2020-01-10,65.4,64.7,65.4,64.9,164050.0,61.55,65.44,,,,,,,
2020-01-13,66.3,65.0,65.0,65.6,225592.0,62.21,65.49,,,,,,,
2020-01-14,67.7,65.7,65.7,67.1,525083.0,63.63,66.03,,,,,,,
2020-01-15,69.2,67.1,67.1,68.9,1471769.0,65.34,66.99,66.23,,,,,,
2020-01-16,70.0,68.2,69.5,68.9,863600.0,65.34,67.62,66.72,,,,,,
2020-01-17,69.3,68.1,69.3,68.4,320253.0,64.87,67.88,67.02,,,,,,
2020-01-20,69.4,67.7,68.5,68.0,381010.0,64.49,67.92,67.2,,,,,,
2020-01-30,63.6,61.5,61.5,62.2,779887.0,58.99,66.01,66.29,,,,,,
2020-01-31,63.2,61.6,62.8,62.2,520017.0,58.99,64.74,65.55,,,,,,
2020-02-03,60.8,58.3,60.5,60.5,619591.0,57.37,63.33,64.63,,,,,,
2020-02-04,62.6,61.8,62.6,61.8,310000.0,58.61,62.82,64.11,,,,,,
2020-02-05,63.0,62.0,62.7,62.3,414080.0,59.08,62.65,63.78,,,,,,
2020-02-06,65.6,62.6,63.0,65.3,694316.0,61.93,63.53,64.06,,,,,,
2020-02-07,64.4,62.8,63.7,62.8,456100.0,59.56,63.29,63.83,65.24,,70.34,65.24,60.13,0.16
2020-02-10,63.4,60.6,60.6,63.2,314594.0,59.93,63.26,63.72,65.04,,70.01,65.0,59.98,0.15
2020-02-11,63.7,62.6,63.7,63.0,135108.0,59.75,63.17,63.59,64.85,,69.72,64.77,59.82,0.15
2020-02-12,64.1,63.4,64.1,63.4,161023.0,60.12,63.25,63.55,64.71,,69.57,64.63,59.69,0.15
2020-02-13,64.6,63.6,64.0,63.6,199100.0,60.31,63.37,63.56,64.6,,69.51,64.56,59.6,0.15
2020-02-14,64.1,63.6,63.6,63.8,109001.0,60.5,63.51,63.6,64.53,,69.49,64.53,59.57,0.15
2020-02-17,64.0,63.4,63.8,63.5,152791.0,60.22,63.51,63.59,64.43,,69.45,64.47,59.49,0.15
2020-02-18,64.0,62.0,63.5,62.4,503100.0,59.18,63.14,63.37,64.24,,69.4,64.35,59.29,0.16
2020-02-19,63.4,62.4,62.5,62.5,440000.0,59.27,62.93,63.21,64.07,,69.27,64.19,59.11,0.16
2020-02-20,63.2,62.3,62.7,62.5,421193.0,59.27,62.78,63.08,63.92,,68.91,63.96,59.01,0.15
2020-02-21,62.5,61.6,62.5,61.9,217585.0,58.7,62.49,62.87,63.73,,68.08,63.61,59.14,0.14
2020-02-24,61.9,60.3,61.9,60.9,514000.0,57.75,61.96,62.51,63.46,,67.11,63.21,59.31,0.12
2020-02-25,60.5,59.0,59.0,60.4,401120.0,57.28,61.44,62.13,63.17,,66.09,62.81,59.53,0.1
2020-02-26,60.7,60.0,60.1,60.5,105000.0,57.37,61.13,61.83,62.91,,64.86,62.44,60.01,0.08
2020-02-27,61.0,59.1,60.9,59.1,421235.0,56.05,60.45,61.33,62.55,,65.11,62.28,59.45,0.09
2020-03-02,59.6,57.7,58.7,58.9,461874.0,55.86,59.93,60.89,62.2,,65.3,62.12,58.93,0.1
2020-03-03,61.0,58.7,61.0,58.7,422148.0,55.67,59.52,60.49,61.87,,65.48,62.03,58.57,0.11
2020-03-04,59.6,57.7,59.6,58.0,528194.0,55.0,59.02,60.04,61.5,,65.71,61.84,57.96,0.13
2020-03-05,59.6,58.4,59.0,59.0,464694.0,55.95,59.01,59.85,61.26,,65.73,61.67,57.61,0.13
2020-03-06,59.4,57.9,59.0,58.2,318090.0,55.19,58.74,59.55,60.97,,65.28,61.32,57.35,0.13
2020-03-09,57.4,56.0,57.2,56.0,512101.0,53.11,57.83,58.91,60.5,,65.5,60.98,56.45,0.15
2020-03-10,56.5,54.0,55.0,56.5,511000.0,53.58,57.38,58.47,60.12,,65.44,60.64,55.84,0.16
2020-03-11,57.3,54.7,56.7,54.7,374200.0,51.87,56.49,57.78,59.6,,65.55,60.23,54.9,0.18
2020-03-12,53.2,49.25,53.2,49.25,1153999.0,46.71,54.08,56.23,58.62,,66.47,59.52,52.56,0.23
2020-03-13,46.35,44.35,44.4,44.75,2909081.0,42.44,50.97,54.14,57.29,,67.8,58.58,49.35,0.32
2020-03-16,45.35,42.75,43.9,42.75,1015420.0,40.54,48.23,52.07,55.91,,68.72,57.52,46.33,0.39
2020-03-17,42.4,39.3,39.3,41.0,816580.0,38.88,45.82,50.06,54.49,,69.35,56.4,43.45,0.46
2020-03-18,41.5,38.4,41.0,38.9,753100.0,36.89,43.51,48.03,53.0,,69.93,55.22,40.52,0.53
2020-03-19,38.5,35.05,38.5,35.05,1371888.0,33.24,40.69,45.67,51.29,,70.57,53.85,37.13,0.62
2020-03-20,38.4,36.2,38.4,36.2,808070.0,34.33,39.19,43.95,49.86,,70.42,52.54,34.65,0.68
2020-03-23,36.0,33.7,34.95,33.8,581000.0,32.05,37.4,42.1,48.33,,70.23,51.13,32.03,0.75
2020-03-24,36.5,33.9,33.9,35.0,684000.0,33.19,36.6,40.81,47.06,,69.61,49.84,30.06,0.79
2020-03-25,38.3,36.5,37.0,37.5,933265.0,35.56,36.9,40.21,46.15,,68.53,48.69,28.85,0.82
2020-03-26,38.35,36.6,37.6,38.2,827203.0,36.23,37.33,39.84,45.39,,67.14,47.58,28.01,0.82
2020-03-27,40.3,38.25,38.55,38.25,956203.0,36.27,37.64,39.55,44.71,,65.75,46.53,27.31,0.83
2020-03-30,37.8,36.3,36.9,37.7,597694.0,35.75,37.66,39.22,44.04,,64.18,45.47,26.77,0.82
2020-03-31,39.15,37.7,38.25,37.8,522021.0,35.85,37.71,38.96,43.45,,62.38,44.43,26.47,0.81
2020-04-01,38.65,37.6,38.55,38.1,354000.0,36.13,37.84,38.8,42.94,,60.45,43.43,26.42,0.78
2020-04-06,38.75,37.25,38.2,38.4,314000.0,36.42,38.02,38.73,42.51,,57.95,42.4,26.85,0.73
