Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,24.1,23.9,24.0,24.0,6939981.0,23.23
2020-01-03,24.1,23.95,24.05,24.1,12353288.0,23.33
2020-01-06,24.05,23.8,24.0,23.8,7042674.0,23.04
2020-01-07,23.9,23.7,23.8,23.7,7693624.0,22.94
2020-01-08,23.7,23.5,23.7,23.55,9093876.0,22.8
2020-01-09,23.8,23.55,23.55,23.75,8137459.0,22.99
2020-01-10,23.9,23.7,23.8,23.85,7270995.0,23.09
2020-01-13,24.0,23.85,23.9,24.0,9763148.0,23.23
2020-01-14,24.05,23.9,24.0,24.05,7882342.0,23.28
2020-01-15,24.05,23.9,24.0,24.05,10148530.0,23.28
2020-01-16,24.05,23.9,24.0,24.0,5347528.0,23.23
2020-01-17,24.05,23.95,24.0,24.05,6410978.0,23.28
2020-01-20,24.1,24.0,24.0,24.05,6941985.0,23.28
2020-01-30,23.5,23.0,23.45,23.0,39414010.0,22.26
2020-01-31,23.35,23.0,23.0,23.1,18198559.0,22.36
2020-02-03,23.15,22.85,23.0,23.0,19364728.0,22.26
2020-02-04,23.7,23.2,23.7,23.2,13835398.0,22.46
2020-02-05,23.4,23.05,23.2,23.25,10362337.0,22.51
2020-02-06,23.5,23.2,23.25,23.35,12028716.0,22.6
2020-02-07,23.35,23.2,23.3,23.3,7882927.0,22.56
2020-02-10,23.45,23.2,23.25,23.45,11393229.0,22.7
2020-02-11,23.5,23.3,23.4,23.45,6370492.0,22.7
2020-02-12,23.45,23.35,23.4,23.45,5236019.0,22.7
2020-02-13,23.45,23.35,23.35,23.4,8813253.0,22.65
2020-02-14,23.45,23.35,23.35,23.45,6221213.0,22.7
2020-02-17,23.35,23.2,23.35,23.35,6014263.0,22.6
2020-02-18,23.45,23.2,23.25,23.45,7446292.0,22.7
2020-02-19,23.55,23.35,23.45,23.5,8112007.0,22.75
2020-02-20,23.5,23.3,23.5,23.3,8685741.0,22.56
2020-02-21,23.4,23.2,23.3,23.2,9537984.0,22.46
2020-02-24,23.15,23.0,23.1,23.0,15245702.0,22.26
2020-02-25,23.0,22.9,23.0,22.95,13970823.0,22.22
2020-02-26,22.95,22.85,22.9,22.85,19514784.0,22.12
2020-02-27,23.0,22.85,22.85,23.0,16708738.0,22.26
2020-03-02,22.95,22.75,22.75,22.9,19482263.0,22.17
2020-03-03,23.0,22.85,22.95,23.0,12117980.0,22.26
2020-03-04,23.2,22.95,23.0,23.2,13514692.0,22.46
2020-03-05,23.3,23.1,23.2,23.3,8007708.0,22.56
2020-03-06,23.2,22.85,23.15,22.9,17960395.0,22.17
2020-03-09,22.75,22.4,22.7,22.4,30241309.0,21.68
2020-03-10,22.45,22.2,22.3,22.35,17919916.0,21.64
2020-03-11,22.4,22.2,22.3,22.35,21766453.0,21.64
2020-03-12,22.2,21.3,22.2,21.4,33757335.0,20.72
2020-03-13,20.3,19.65,20.2,20.2,72221523.0,19.55
2020-03-16,20.25,20.0,20.2,20.0,31513002.0,19.36
2020-03-17,19.8,19.4,19.8,19.5,46625543.0,18.88
2020-03-18,19.65,19.25,19.5,19.3,35354413.0,18.68
2020-03-19,19.05,18.35,19.0,18.6,52484394.0,18.01
2020-03-20,19.8,18.7,18.7,19.8,52775496.0,19.17
2020-03-23,19.15,18.7,18.8,18.9,22825663.0,18.3
